,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kWh),0,"6,780","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758","6,758",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill without system ($/yr),0,"4,997","5,122","5,250","5,382","5,516","5,654","5,795","5,940","6,089","6,241","6,397","6,557","6,721","6,889","7,061","7,238","7,419","7,604","7,794","7,989","8,189","8,394","8,603","8,818","9,039",
minus:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill with system ($/yr),0,"3,701","3,798","3,893","3,991","4,090","4,193","4,297","4,405","4,515","4,628","4,744","4,862","4,984","5,108","5,236","5,367","5,501","5,639","5,780","5,924","6,072","6,224","6,380","6,539","6,702",
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of electricity savings ($),0,"1,296","1,324","1,357","1,391","1,426","1,462","1,498","1,536","1,574","1,613","1,654","1,695","1,737","1,781","1,825","1,871","1,918","1,966","2,015","2,065","2,117","2,170","2,224","2,279","2,336",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax net assessed value ($),0,"24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&M fixed expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M production-based expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M capacity-based expense ($),0,140,144,147,151,155,158,162,166,171,175,179,184,188,193,198,203,208,213,218,224,230,235,241,247,253,
Property tax expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Insurance expense ($),0,123,126,130,133,136,140,143,147,150,154,158,162,166,170,174,179,183,188,192,197,202,207,212,218,223,
Net salvage value ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total operating expense ($),0,263,270,277,284,291,298,305,313,321,329,337,346,354,363,372,381,391,401,411,421,432,442,453,465,476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deductible expenses ($),-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBT REPAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt balance ($),"24,667","24,150","23,607","23,037","22,439","21,811","21,151","20,459","19,731","18,968","18,166","17,324","16,440","15,512","14,538","13,514","12,440","11,312","10,127","8,883","7,577","6,206","4,766","3,254","1,667",0,
