,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kWh),0,"4,394","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379","4,379",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill without system ($/yr),0,"4,997","5,122","5,250","5,382","5,516","5,654","5,795","5,940","6,089","6,241","6,397","6,557","6,721","6,889","7,061","7,238","7,419","7,604","7,794","7,989","8,189","8,394","8,603","8,818","9,039",
minus:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill with system ($/yr),0,"4,157","4,264","4,371","4,480","4,592","4,707","4,825","4,945","5,069","5,196","5,326","5,459","5,595","5,735","5,878","6,025","6,176","6,330","6,489","6,651","6,817","6,988","7,162","7,341","7,525",
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of electricity savings ($),0,840,858,880,902,924,947,971,995,"1,020","1,045","1,072","1,098","1,126","1,154","1,183","1,212","1,243","1,274","1,306","1,338","1,372","1,406","1,441","1,477","1,514",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax net assessed value ($),0,"24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667","24,667",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&M fixed expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M production-based expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M capacity-based expense ($),0,140,144,147,151,155,158,162,166,171,175,179,184,188,193,198,203,208,213,218,224,230,235,241,247,253,
Property tax expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Insurance expense ($),0,123,126,130,133,136,140,143,147,150,154,158,162,166,170,174,179,183,188,192,197,202,207,212,218,223,
Net salvage value ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total operating expense ($),0,263,270,277,284,291,298,305,313,321,329,337,346,354,363,372,381,391,401,411,421,432,442,453,465,476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deductible expenses ($),-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBT REPAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt balance ($),"24,667","24,150","23,607","23,037","22,439","21,811","21,151","20,459","19,731","18,968","18,166","17,324","16,440","15,512","14,538","13,514","12,440","11,312","10,127","8,883","7,577","6,206","4,766","3,254","1,667",0,
Interest payment ($),0,"1,233","1,207","1,180","1,152","1,122","1,091","1,058","1,023",987,948,908,866,822,776,727,676,622,566,506,444,379,310,238,163,83,
Principal payment ($),0,517,543,570,598,628,660,693,727,764,802,842,884,928,975,"1,023","1,074","1,128","1,185","1,244","1,306","1,371","1,440","1,512","1,587","1,667",
Total P&I debt payment ($),0,"1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
Interest payment ($),-0,"-1,233","-1,207","-1,180","-1,152","-1,122","-1,091","-1,058","-1,023",-987,-948,-908,-866,-822,-776,-727,-676,-622,-566,-506,-444,-379,-310,-238,-163,-83,
