,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kWh),0,"3,731","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719","3,719",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill without system ($/yr),0,"4,997","5,122","5,250","5,382","5,516","5,654","5,795","5,940","6,089","6,241","6,397","6,557","6,721","6,889","7,061","7,238","7,419","7,604","7,794","7,989","8,189","8,394","8,603","8,818","9,039",
minus:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill with system ($/yr),0,"4,284","4,394","4,504","4,616","4,732","4,850","4,971","5,095","5,223","5,353","5,487","5,624","5,765","5,909","6,057","6,208","6,363","6,523","6,686","6,853","7,024","7,200","7,380","7,564","7,753",
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of electricity savings ($),0,713,729,747,765,785,804,824,845,866,888,910,933,956,980,"1,004","1,030","1,055","1,082","1,109","1,136","1,165","1,194","1,224","1,254","1,286",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax net assessed value ($),0,"13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663","13,663",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&M fixed expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M production-based expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M capacity-based expense ($),0,77,79,81,83,85,87,89,92,94,96,99,101,104,106,109,112,114,117,120,123,126,129,133,136,139,
Property tax expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Insurance expense ($),0,68,70,72,74,75,77,79,81,83,85,87,90,92,94,97,99,101,104,107,109,112,115,118,121,124,
Net salvage value ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total operating expense ($),0,145,149,153,157,160,164,169,173,177,182,186,191,195,200,205,211,216,221,227,232,238,244,250,256,263,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deductible expenses ($),-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBT REPAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt balance ($),"13,663","13,377","13,076","12,761","12,429","12,081","11,716","11,332","10,929","10,506","10,062","9,596","9,106","8,592","8,052","7,486","6,891","6,266","5,609","4,921","4,197","3,438","2,640","1,803",923,0,
Interest payment ($),0,683,669,654,638,621,604,586,567,546,525,503,480,455,430,403,374,345,313,280,246,210,172,132,90,46,
Principal payment ($),0,286,301,316,331,348,365,384,403,423,444,466,490,514,540,567,595,625,656,689,723,760,798,837,879,923,
Total P&I debt payment ($),0,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,969,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
