,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kWh),0,"4,013","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill without system ($/yr),0,"4,997","5,122","5,250","5,382","5,516","5,654","5,795","5,940","6,089","6,241","6,397","6,557","6,721","6,889","7,061","7,238","7,419","7,604","7,794","7,989","8,189","8,394","8,603","8,818","9,039",
minus:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill with system ($/yr),0,"4,230","4,339","4,447","4,558","4,672","4,789","4,909","5,031","5,157","5,286","5,418","5,554","5,693","5,835","5,981","6,130","6,283","6,441","6,602","6,767","6,936","7,109","7,287","7,469","7,656",
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of electricity savings ($),0,767,784,803,824,844,865,887,909,932,955,979,"1,003","1,028","1,054","1,081","1,108","1,135","1,164","1,193","1,223","1,253","1,284","1,317","1,349","1,383",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax net assessed value ($),0,"14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743","14,743",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&M fixed expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M production-based expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M capacity-based expense ($),0,84,86,88,91,93,95,97,100,102,105,108,110,113,116,119,122,125,128,131,134,138,141,145,148,152,
Property tax expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Insurance expense ($),0,74,76,77,79,81,83,85,88,90,92,94,97,99,102,104,107,109,112,115,118,121,124,127,130,133,
Net salvage value ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total operating expense ($),0,158,162,166,170,174,178,183,188,192,197,202,207,212,217,223,228,234,240,246,252,259,265,272,278,285,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deductible expenses ($),-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBT REPAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt balance ($),"14,743","14,434","14,110","13,769","13,411","13,036","12,642","12,228","11,793","11,337","10,857","10,354","9,826","9,271","8,689","8,077","7,435","6,761","6,053","5,309","4,529","3,709","2,849","1,945",996,0,
Interest payment ($),0,737,722,705,688,671,652,632,611,590,567,543,518,491,464,434,404,372,338,303,265,226,185,142,97,50,
Principal payment ($),0,309,324,341,358,375,394,414,435,456,479,503,528,555,582,612,642,674,708,743,781,820,861,904,949,996,
Total P&I debt payment ($),0,"1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
Interest payment ($),-0,-737,-722,-705,-688,-671,-652,-632,-611,-590,-567,-543,-518,-491,-464,-434,-404,-372,-338,-303,-265,-226,-185,-142,-97,-50,
State taxable income less deductions ($),0,-737,-722,-705,-688,-671,-652,-632,-611,-590,-567,-543,-518,-491,-464,-434,-404,-372,-338,-303,-265,-226,-185,-142,-97,-50,
state tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
minus state tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable income less deductions ($),0,-737,-722,-705,-688,-671,-652,-632,-611,-590,-567,-543,-518,-491,-464,-434,-404,-372,-338,-303,-265,-226,-185,-142,-97,-50,
State income tax rate (frac),0,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,
equals state tax savings:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State tax savings ($),0,44,43,42,41,40,39,38,37,35,34,33,31,29,28,26,24,22,20,18,16,14,11,9,6,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERAL INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
State tax savings ($),0,44,43,42,41,40,39,38,37,35,34,33,31,29,28,26,24,22,20,18,16,14,11,9,6,3,
Interest payment ($),-0,-737,-722,-705,-688,-671,-652,-632,-611,-590,-567,-543,-518,-491,-464,-434,-404,-372,-338,-303,-265,-226,-185,-142,-97,-50,
Federal taxable income less deductions ($),0,-693,-678,-663,-647,-630,-613,-594,-575,-554,-533,-510,-487,-462,-436,-408,-380,-349,-318,-284,-250,-213,-174,-134,-91,-47,
federal tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Federal ITC income ($),,"3,833",,,,,,,,,,,,,,,,,,,,,,,,,
minus federal tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable income less deductions ($),0,-693,-678,-663,-647,-630,-613,-594,-575,-554,-533,-510,-487,-462,-436,-408,-380,-349,-318,-284,-250,-213,-174,-134,-91,-47,
Federal income tax rate (frac),0,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal tax savings ($),0,"3,972",136,133,129,126,123,119,115,111,107,102,97,92,87,82,76,70,64,57,50,43,35,27,18,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
After-tax annual costs ($),0,"2,812","-1,029","-1,037","-1,045","-1,054","-1,063","-1,072","-1,082","-1,092","-1,102","-1,113","-1,125","-1,136","-1,149","-1,161","-1,174","-1,188","-1,202","-1,217","-1,232","-1,248","-1,265","-1,282","-1,300","-1,319",
After-tax cash flow ($),0,"3,579",-245,-233,-222,-210,-198,-185,-173,-160,-147,-134,-121,-108,-94,-81,-67,-53,-39,-24,-10,5,19,34,49,64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH INCENTIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Utility PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Other PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
