,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kWh),0,"11,662","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626","11,626",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill without system ($/yr),0,"4,997","5,122","5,250","5,382","5,516","5,654","5,795","5,940","6,089","6,241","6,397","6,557","6,721","6,889","7,061","7,238","7,419","7,604","7,794","7,989","8,189","8,394","8,603","8,818","9,039",
minus:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill with system ($/yr),0,"2,768","2,844","2,916","2,988","3,063","3,140","3,218","3,299","3,381","3,466","3,552","3,641","3,732","3,825","3,921","4,019","4,120","4,223","4,328","4,436","4,547","4,661","4,777","4,897","5,019",
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of electricity savings ($),0,"2,229","2,278","2,335","2,393","2,453","2,514","2,577","2,642","2,708","2,775","2,845","2,916","2,989","3,064","3,140","3,219","3,299","3,382","3,466","3,553","3,642","3,733","3,826","3,922","4,020",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax net assessed value ($),0,"43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228","43,228",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&M fixed expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M production-based expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M capacity-based expense ($),0,252,258,265,272,278,285,292,300,307,315,323,331,339,348,356,365,374,384,393,403,413,423,434,445,456,
Property tax expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Insurance expense ($),0,216,222,227,233,239,245,251,257,263,270,277,284,291,298,305,313,321,329,337,346,354,363,372,381,391,
Net salvage value ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total operating expense ($),0,468,480,492,504,517,530,543,557,571,585,599,614,630,646,662,678,695,713,730,749,767,786,806,826,847,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deductible expenses ($),-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
