,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kWh),0,"4,401","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386","4,386",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill without system ($/yr),0,"4,997","5,122","5,250","5,382","5,516","5,654","5,795","5,940","6,089","6,241","6,397","6,557","6,721","6,889","7,061","7,238","7,419","7,604","7,794","7,989","8,189","8,394","8,603","8,818","9,039",
minus:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill with system ($/yr),0,"4,156","4,263","4,369","4,479","4,591","4,705","4,823","4,944","5,067","5,194","5,324","5,457","5,593","5,733","5,876","6,023","6,174","6,328","6,486","6,649","6,815","6,985","7,160","7,339","7,522",
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of electricity savings ($),0,841,859,881,903,926,949,972,997,"1,022","1,047","1,073","1,100","1,128","1,156","1,185","1,214","1,245","1,276","1,308","1,340","1,374","1,408","1,444","1,480","1,517",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax net assessed value ($),0,"22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383","22,383",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&M fixed expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M production-based expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M capacity-based expense ($),0,133,136,140,143,147,151,154,158,162,166,170,175,179,183,188,193,198,202,208,213,218,223,229,235,241,
Property tax expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Insurance expense ($),0,112,115,118,121,124,127,130,133,136,140,143,147,151,154,158,162,166,170,175,179,183,188,193,197,202,
Net salvage value ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total operating expense ($),0,245,251,257,264,270,277,284,291,298,306,314,321,329,338,346,355,364,373,382,392,401,411,422,432,443,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deductible expenses ($),-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBT REPAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt balance ($),"22,383","21,914","21,422","20,905","20,362","19,792","19,193","18,565","17,905","17,212","16,485","15,721","14,919","14,076","13,192","12,263","11,288","10,265","9,190","8,061","6,876","5,632","4,325","2,953","1,513",0,
Interest payment ($),0,"1,119","1,096","1,071","1,045","1,018",990,960,928,895,861,824,786,746,704,660,613,564,513,459,403,344,282,216,148,76,
Principal payment ($),0,469,492,517,543,570,599,628,660,693,728,764,802,842,884,929,975,"1,024","1,075","1,129","1,185","1,244","1,307","1,372","1,441","1,513",
Total P&I debt payment ($),0,"1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588","1,588",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
Interest payment ($),-0,"-1,119","-1,096","-1,071","-1,045","-1,018",-990,-960,-928,-895,-861,-824,-786,-746,-704,-660,-613,-564,-513,-459,-403,-344,-282,-216,-148,-76,
State taxable income less deductions ($),0,"-1,119","-1,096","-1,071","-1,045","-1,018",-990,-960,-928,-895,-861,-824,-786,-746,-704,-660,-613,-564,-513,-459,-403,-344,-282,-216,-148,-76,
state tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
minus state tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable income less deductions ($),0,"-1,119","-1,096","-1,071","-1,045","-1,018",-990,-960,-928,-895,-861,-824,-786,-746,-704,-660,-613,-564,-513,-459,-403,-344,-282,-216,-148,-76,
State income tax rate (frac),0,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,
equals state tax savings:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State tax savings ($),0,67,66,64,63,61,59,58,56,54,52,49,47,45,42,40,37,34,31,28,24,21,17,13,9,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERAL INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
State tax savings ($),0,67,66,64,63,61,59,58,56,54,52,49,47,45,42,40,37,34,31,28,24,21,17,13,9,5,
Interest payment ($),-0,"-1,119","-1,096","-1,071","-1,045","-1,018",-990,-960,-928,-895,-861,-824,-786,-746,-704,-660,-613,-564,-513,-459,-403,-344,-282,-216,-148,-76,
Federal taxable income less deductions ($),0,"-1,052","-1,030","-1,007",-983,-957,-930,-902,-873,-842,-809,-775,-739,-701,-662,-620,-576,-531,-482,-432,-379,-323,-265,-203,-139,-71,
federal tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Federal ITC income ($),,"5,820",,,,,,,,,,,,,,,,,,,,,,,,,
minus federal tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable income less deductions ($),0,"-1,052","-1,030","-1,007",-983,-957,-930,-902,-873,-842,-809,-775,-739,-701,-662,-620,-576,-531,-482,-432,-379,-323,-265,-203,-139,-71,
Federal income tax rate (frac),0,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal tax savings ($),0,"6,030",206,201,197,191,186,180,175,168,162,155,148,140,132,124,115,106,96,86,76,65,53,41,28,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
After-tax annual costs ($),0,"4,264","-1,568","-1,580","-1,593","-1,606","-1,620","-1,634","-1,649","-1,665","-1,681","-1,697","-1,715","-1,733","-1,751","-1,771","-1,791","-1,812","-1,834","-1,856","-1,880","-1,904","-1,930","-1,956","-1,984","-2,013",
After-tax cash flow ($),0,"5,105",-708,-699,-690,-681,-671,-662,-652,-643,-634,-624,-614,-605,-595,-586,-577,-567,-558,-549,-539,-530,-521,-513,-504,-496,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH INCENTIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Utility PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Other PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAX CREDITS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal ITC income ($),,"5,820",,,,,,,,,,,,,,,,,,,,,,,,,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
