,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kWh),0,"12,317","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283","12,283",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill without system ($/yr),0,"4,997","5,122","5,250","5,382","5,516","5,654","5,795","5,940","6,089","6,241","6,397","6,557","6,721","6,889","7,061","7,238","7,419","7,604","7,794","7,989","8,189","8,394","8,603","8,818","9,039",
minus:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill with system ($/yr),0,"2,643","2,716","2,784","2,853","2,924","2,998","3,072","3,149","3,228","3,309","3,391","3,476","3,563","3,652","3,744","3,837","3,933","4,031","4,132","4,235","4,341","4,450","4,561","4,675","4,792",
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of electricity savings ($),0,"2,355","2,407","2,467","2,529","2,592","2,657","2,723","2,791","2,861","2,932","3,006","3,081","3,158","3,237","3,318","3,401","3,486","3,573","3,662","3,754","3,847","3,944","4,042","4,143","4,247",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax net assessed value ($),0,"46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467","46,467",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&M fixed expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M production-based expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M capacity-based expense ($),0,273,280,287,294,301,309,317,325,333,341,350,358,367,377,386,396,405,416,426,437,448,459,470,482,494,
Property tax expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Insurance expense ($),0,232,238,244,250,256,263,269,276,283,290,297,305,312,320,328,336,345,354,362,371,381,390,400,410,420,
Net salvage value ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total operating expense ($),0,505,518,531,544,558,572,586,601,616,631,647,663,680,697,714,732,750,769,788,808,828,849,870,892,914,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deductible expenses ($),-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBT REPAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt balance ($),"46,467","45,062","43,587","42,037","40,410","38,702","36,909","35,026","33,048","30,972","28,792","26,503","24,099","21,575","18,926","16,143","13,222","10,154","6,933","3,551",0,0,0,0,0,0,
Interest payment ($),0,"2,323","2,253","2,179","2,102","2,021","1,935","1,845","1,751","1,652","1,549","1,440","1,325","1,205","1,079",946,807,661,508,347,178,0,0,0,0,0,
