,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kWh),0,"3,385","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373","3,373",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill without system ($/yr),0,"4,997","5,122","5,250","5,382","5,516","5,654","5,795","5,940","6,089","6,241","6,397","6,557","6,721","6,889","7,061","7,238","7,419","7,604","7,794","7,989","8,189","8,394","8,603","8,818","9,039",
minus:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill with system ($/yr),0,"4,350","4,461","4,573","4,687","4,804","4,925","5,048","5,174","5,303","5,436","5,572","5,711","5,854","6,000","6,150","6,304","6,461","6,623","6,789","6,958","7,132","7,310","7,493","7,681","7,873",
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of electricity savings ($),0,647,661,678,694,712,730,748,767,786,805,825,846,867,889,911,934,957,981,"1,006","1,031","1,057","1,083","1,110","1,138","1,166",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax net assessed value ($),0,"12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583","12,583",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&M fixed expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M production-based expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M capacity-based expense ($),0,70,72,74,75,77,79,81,83,85,87,90,92,94,97,99,101,104,107,109,112,115,118,121,124,127,
Property tax expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Insurance expense ($),0,63,64,66,68,69,71,73,75,77,79,81,83,85,87,89,91,93,96,98,101,103,106,108,111,114,
Net salvage value ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total operating expense ($),0,133,136,140,143,147,150,154,158,162,166,170,174,179,183,188,193,197,202,207,213,218,223,229,235,240,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deductible expenses ($),-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBT REPAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt balance ($),"12,583","12,320","12,043","11,752","11,447","11,126","10,790","10,437","10,066","9,676","9,267","8,838","8,387","7,913","7,416","6,894","6,346","5,770","5,166","4,532","3,865","3,166","2,431","1,660",850,0,
Interest payment ($),0,629,616,602,588,572,556,539,522,503,484,463,442,419,396,371,345,317,289,258,227,193,158,122,83,43,
Principal payment ($),0,264,277,291,305,320,336,353,371,390,409,429,451,473,497,522,548,576,604,635,666,700,735,771,810,850,
Total P&I debt payment ($),0,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
Interest payment ($),-0,-629,-616,-602,-588,-572,-556,-539,-522,-503,-484,-463,-442,-419,-396,-371,-345,-317,-289,-258,-227,-193,-158,-122,-83,-43,
State taxable income less deductions ($),0,-629,-616,-602,-588,-572,-556,-539,-522,-503,-484,-463,-442,-419,-396,-371,-345,-317,-289,-258,-227,-193,-158,-122,-83,-43,
state tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
